status;link_url;id;sektor;subsektor;kategori;kode;tipe_kegiatan;jenis_aksi;status2;nama_provinsi;lokasi_provinsi;lokasi_kabkot;lokasi_kecamatan;lokasi_desa;nama_kegiatan;tahun_pelaporan;subkegiatan;multikegiatan;target;realisasi;unit;persentase_kegiatan;manfaat_pembangunan;pelaksana_id;nama;deskripsi;tautan_dengan_rad_id;rad_terkait;tautan_dengan_ran_id;pelaksana_nasional_id;alokasi_apbn;alokasi_apbd_provinsi;alokasi_apbd_kabupaten_kota;alokasi_bumd_swasta;alokasi_phln;alokasi_phln_pinjaman;alokasi_total;realisasi_apbn;realisasi_apbd_provinsi;realisasi_apbd_kabupaten_kota;realisasi_bumd_swasta;realisasi_phln;realisasi_phln_pinjaman;realisasi_total;indikasi_penggunaan_anggaran;sumberdata_namadokumen;sumberdata_tahun;sumberdata_file;sumberdata_sumber;sumberdata_url;Total Penurunan emisi;Count;validate
FINAL;http://pep.pprk.bappenas.go.id/dashboard/kegiatan_mitigasi/33376;33376;Lahan;Kehutanan dan Lahan Gambut;Peningkatan Cadangan Karbon;2.15.73.1.1.12.76;INTI;Aksi Daerah;FINAL;SULAWESI SELATAN;SULAWESI SELATAN;BANTAENG;BANTAENG;KAYU LOE;Pemulihan Lahan Kritis Wilayah KPH Skala Provinsi;2015;BERULANG;SATULOKASI;30000;15750;batang;52.5;;266;DINAS KEHUTANAN;;;;;;;1226222000;;;;;1226222000;;271970000;;;;;271970000;22.18;Laporan Tahunan Dinas Kehutanan Provinsi Sulawesi Selatan;2015;sumberdata/laptah2015.zip;DOKUMEN PELAPORAN LAIN;;254.5989659;1;0
FINAL;http://pep.pprk.bappenas.go.id/dashboard/kegiatan_mitigasi/33376;33376;Lahan;Kehutanan dan Lahan Gambut;Peningkatan Cadangan Karbon;2.15.73.1.1.12.76;INTI;Aksi Daerah;FINAL;SULAWESI SELATAN;SULAWESI SELATAN;BANTAENG;BANTAENG;KAYU LOE;Pemulihan Lahan Kritis Wilayah KPH Skala Provinsi;2015;BERULANG;SATULOKASI;30000;15750;batang;52.5;;266;DINAS KEHUTANAN;;;;;;;1226222000;;;;;1226222000;;271970000;;;;;271970000;22.18;Laporan Tahunan Dinas Kehutanan Provinsi Sulawesi Selatan;2015;sumberdata/laptah2015_KHE580x.zip;DOKUMEN PELAPORAN LAIN;;254.5989659;1;1
FINAL;http://pep.pprk.bappenas.go.id/dashboard/kegiatan_mitigasi/35711;35711;Lahan;Kehutanan dan Lahan Gambut;Peningkatan Cadangan Karbon;2.18.73.1.1.12.11;INTI;Aksi Daerah;FINAL;SULAWESI SELATAN;SULAWESI SELATAN;BANTAENG;BANTAENG;KAYU LOE;Pembuatan Tanaman Bambu di Kabupaten Bantaeng;2018;BERULANG;SATULOKASI;20;20;ha;100;;266;DINAS KEHUTANAN;;;;;;;102990000;;;;;102990000;;102390000;;;;;102390000;99.42;DPA Dinas Kehutanan Sulsel;2018;;DOKUMEN PELAPORAN LAIN;;3426.133333;1;0
FINAL;http://pep.pprk.bappenas.go.id/dashboard/kegiatan_mitigasi/32569;32569;Lahan;Pertanian;Penggunaan Pupuk Organik;2.17.73.2.1.21.69;INTI;Aksi Daerah;FINAL;SULAWESI SELATAN;SULAWESI SELATAN;BONE;AJANGALE;ALLAMUNGENG PATUE;Pengembangan Pupuk Organik;2017;HANYA TAHUN PELAPORAN;UTAMA;100;100;HA;100;;268;DINAS KETAHANAN PANGAN, TANAMAN PANGAN DAN HORTIKULTURA;;2869;Program pengendalian pupuk kimia;;;;;;;;;0;;;;;;;0;0;APBD Provinsi;2017;;DOKUMEN PELAPORAN LAIN;;11.73333333;1;1
FINAL;http://pep.pprk.bappenas.go.id/dashboard/kegiatan_mitigasi/32600;32600;Lahan;Kehutanan dan Lahan Gambut;Peningkatan Cadangan Karbon;2.14.73.1.1.12.00;INTI;Aksi Daerah;FINAL;SULAWESI SELATAN;SULAWESI SELATAN;BONE;LIBURENG;TOMPOBULU;Fasilitasi Pengembangan Hutan Rakyat;2014;BERULANG;UTAMA;70;70;ha;100;;266;DINAS KEHUTANAN;;1874;Program Hutan Rakyat;;;;2009285000;;;;;2009285000;;2008526500;;;;;2008526500;99.96;Laporan Tahunan 2014;2014;;DOKUMEN PELAPORAN LAIN;;85.58176;1;0
FINAL;http://pep.pprk.bappenas.go.id/dashboard/kegiatan_mitigasi/35713;35713;Lahan;Kehutanan dan Lahan Gambut;Peningkatan Cadangan Karbon;2.18.73.1.1.12.13;INTI;Aksi Daerah;FINAL;SULAWESI SELATAN;SULAWESI SELATAN;BULUKUMBA;KINDANG;ORO GADING;Pembuatan Tanaman Bambu di Kabupaten Bulukumba;2018;BERULANG;SATULOKASI;20;20;ha;100;;266;DINAS KEHUTANAN;;;;;;;102990000;;;;;102990000;;102390000;;;;;102390000;99.42;DPA Dinas Kehutanan Sulsel;2018;;DOKUMEN PELAPORAN LAIN;;3426.133333;1;1
FINAL;http://pep.pprk.bappenas.go.id/dashboard/kegiatan_mitigasi/35803;35803;Lahan;Kehutanan dan Lahan Gambut;Peningkatan Cadangan Karbon;2.18.73.1.1.12.03;INTI;Aksi Daerah;FINAL;SULAWESI SELATAN;SULAWESI SELATAN;BULUKUMBA;KINDANG;ANRIHUA;Penanaman Hutan Rakyat;2018;BERULANG;SATULOKASI;60;60;Ha;100;;266;DINAS KEHUTANAN;;;;;;;309250000;;;;;309250000;;227605350;;;;;227605350;73.6;DPA Dinas Kehutanan Sulsel;2018;;DOKUMEN PELAPORAN LAIN;;672.375;1;1
FINAL;http://pep.pprk.bappenas.go.id/dashboard/kegiatan_mitigasi/35803;35803;Lahan;Kehutanan dan Lahan Gambut;Peningkatan Cadangan Karbon;2.18.73.1.1.12.03;INTI;Aksi Daerah;FINAL;SULAWESI SELATAN;SULAWESI SELATAN;BULUKUMBA;HERO LANGE-LANGE;KARASSING;Penanaman Hutan Rakyat;2018;BERULANG;SATULOKASI;60;60;Ha;100;;266;DINAS KEHUTANAN;;;;;;;309250000;;;;;309250000;;227605350;;;;;227605350;73.6;DPA Dinas Kehutanan Sulsel;2018;;DOKUMEN PELAPORAN LAIN;;672.375;1;0
FINAL;http://pep.pprk.bappenas.go.id/dashboard/kegiatan_mitigasi/35803;35803;Lahan;Kehutanan dan Lahan Gambut;Peningkatan Cadangan Karbon;2.18.73.1.1.12.03;INTI;Aksi Daerah;FINAL;SULAWESI SELATAN;SULAWESI SELATAN;BULUKUMBA;HERO LANGE-LANGE;TANUNTUNG;Penanaman Hutan Rakyat;2018;BERULANG;SATULOKASI;60;60;Ha;100;;266;DINAS KEHUTANAN;;;;;;;309250000;;;;;309250000;;227605350;;;;;227605350;73.6;DPA Dinas Kehutanan Sulsel;2018;;DOKUMEN PELAPORAN LAIN;;672.375;1;0
FINAL;http://pep.pprk.bappenas.go.id/dashboard/kegiatan_mitigasi/35880;35880;Lahan;Kehutanan dan Lahan Gambut;Peningkatan Cadangan Karbon;2.18.73.1.1.12.80;INTI;Aksi Daerah;FINAL;SULAWESI SELATAN;SULAWESI SELATAN;BULUKUMBA;GANTARANG;POLEWALI;Penghijauan Lingkungan di Kabupaten Bulukumba;2018;BERULANG;SATULOKASI;625;625;batang;100;;266;DINAS KEHUTANAN;;;;;;;6250000;;;;;6250000;;6234375;;;;;6234375;99.75;DPA Dinas Kehutanan Sulsel;2018;;DOKUMEN PELAPORAN LAIN;;14.98933333;1;1
FINAL;http://pep.pprk.bappenas.go.id/dashboard/kegiatan_mitigasi/35718;35718;Lahan;Kehutanan dan Lahan Gambut;Peningkatan Cadangan Karbon;2.18.73.1.1.12.18;INTI;Aksi Daerah;FINAL;SULAWESI SELATAN;SULAWESI SELATAN;ENREKANG;MALUA;BUNTU BATUAN;Pembuatan Tanaman Bambu di Kabupaten Enrekang;2018;BERULANG;SATULOKASI;10;10;ha;100;;266;DINAS KEHUTANAN;;1875;Program Rehabilitasi Hutan dan Lahan;;;;51690000;;;;;51690000;;51390000;;;;;51390000;99.42;DPA Dinas Kehutanan Sulsel;2018;;DOKUMEN PELAPORAN LAIN;;856.5333333;1;0
FINAL;http://pep.pprk.bappenas.go.id/dashboard/kegiatan_mitigasi/32568;32568;Lahan;Kehutanan dan Lahan Gambut;Peningkatan Cadangan Karbon;2.17.73.1.1.12.68;INTI;Aksi Daerah;FINAL;SULAWESI SELATAN;SULAWESI SELATAN;GOWA;BUNGAYA;SAPAYA;Penanaman Bambu pada Kawasan Hutan Lindung;2017;BERULANG;SATULOKASI;40;40;ha;100;;266;DINAS KEHUTANAN;;1875;Program Rehabilitasi Hutan dan Lahan;;;;;;;;;0;;;;;;;0;0;APBD Provinsi;2017;;DOKUMEN PELAPORAN LAIN;;125.4684444;1;1
FINAL;http://pep.pprk.bappenas.go.id/dashboard/kegiatan_mitigasi/33663;33663;Lahan;Kehutanan dan Lahan Gambut;Peningkatan Cadangan Karbon;2.17.73.1.1.12.63;INTI;Aksi Daerah;FINAL;SULAWESI SELATAN;SULAWESI SELATAN;GOWA;BAROMBONG;BENTENG SOMBA OPU;latihan perbanyakan bibit sukun;2017;BERULANG;SATULOKASI;20;20;hektar;100;;268;DINAS KETAHANAN PANGAN, TANAMAN PANGAN DAN HORTIKULTURA;;1878;Pembuatan Kebun Bibit;;;;6000000;;;;;6000000;;6000000;;;;;6000000;100;APBD Provinsi;2017;;DOKUMEN PELAPORAN LAIN;;32.274;1;0
FINAL;http://pep.pprk.bappenas.go.id/dashboard/kegiatan_mitigasi/35710;35710;Lahan;Kehutanan dan Lahan Gambut;Peningkatan Cadangan Karbon;2.18.73.1.1.12.10;INTI;Aksi Daerah;FINAL;SULAWESI SELATAN;SULAWESI SELATAN;JENEPONTO;RUMBIA;LOKA;Pembuatan Tanaman Bambu di Kabupaten Jeneponto;2018;BERULANG;SATULOKASI;20;20;ha;100;;266;DINAS KEHUTANAN;;;;;;;102990000;;;;;102990000;;102390000;;;;;102390000;99.42;DPA Dinas Kehutanan Sulsel;2018;;DOKUMEN PELAPORAN LAIN;;3426.133333;1;0
FINAL;http://pep.pprk.bappenas.go.id/dashboard/kegiatan_mitigasi/35879;35879;Lahan;Kehutanan dan Lahan Gambut;Peningkatan Cadangan Karbon;2.18.73.1.1.12.79;INTI;Aksi Daerah;FINAL;SULAWESI SELATAN;SULAWESI SELATAN;JENEPONTO;BINAMU;EMPOANG;Penghijauan Lingkungan di Kabupaten Jeneponto;2018;BERULANG;SATULOKASI;625;625;batang;100;;266;DINAS KEHUTANAN;;;;;;;6250000;;;;;6250000;;6234375;;;;;6234375;99.75;DPA Dinas Kehutanan Sulsel;2018;;DOKUMEN PELAPORAN LAIN;;14.98933333;1;1
FINAL;http://pep.pprk.bappenas.go.id/dashboard/kegiatan_mitigasi/35720;35720;Lahan;Kehutanan dan Lahan Gambut;Peningkatan Cadangan Karbon;2.18.73.1.1.12.20;INTI;Aksi Daerah;FINAL;SULAWESI SELATAN;SULAWESI SELATAN;LUWU;BASSESANGTEMPE;MAPPETAJANG;Pembuatan Tanaman Bambu di Kabupaten Luwu;2018;BERULANG;SATULOKASI;5;5;ha;100;;266;DINAS KEHUTANAN;;1875;Program Rehabilitasi Hutan dan Lahan;;;;25990000;;;;;25990000;;25840000;;;;;25840000;99.42;DPA Dinas Kehutanan Sulsel;2018;;DOKUMEN PELAPORAN LAIN;;214.1333333;1;1
FINAL;http://pep.pprk.bappenas.go.id/dashboard/kegiatan_mitigasi/35721;35721;Lahan;Kehutanan dan Lahan Gambut;Peningkatan Cadangan Karbon;2.18.73.1.1.12.21;INTI;Aksi Daerah;FINAL;SULAWESI SELATAN;SULAWESI SELATAN;LUWU TIMUR;WASUPONDA;KAWATA;Pembuatan Tanaman Bambu di Kabupaten Luwu Timur;2018;BERULANG;SATULOKASI;5;5;ha;100;;266;DINAS KEHUTANAN;;1875;Program Rehabilitasi Hutan dan Lahan;;;;25990000;;;;;25990000;;25840000;;;;;25840000;99.42;DPA Dinas Kehutanan Sulsel;2018;;DOKUMEN PELAPORAN LAIN;;214.1333333;1;1
FINAL;http://pep.pprk.bappenas.go.id/dashboard/kegiatan_mitigasi/35716;35716;Lahan;Kehutanan dan Lahan Gambut;Peningkatan Cadangan Karbon;2.18.73.1.1.12.16;INTI;Aksi Daerah;FINAL;SULAWESI SELATAN;SULAWESI SELATAN;LUWU UTARA;BONE-BONE;BANTIMURUNG;Pembuatan Tanaman Bambu di Kabupaten Luwu Utara;2018;BERULANG;SATULOKASI;20;20;ha;100;;266;DINAS KEHUTANAN;;1875;Program Rehabilitasi Hutan dan Lahan;;;;102990000;;;;;102990000;;102390000;;;;;102390000;99.42;DPA Dinas Kehutanan Sulsel;2018;;DOKUMEN PELAPORAN LAIN;;3426.133333;1;1
FINAL;http://pep.pprk.bappenas.go.id/dashboard/kegiatan_mitigasi/11168;11168;Lahan;Kehutanan dan Lahan Gambut;Pencegahan Penurunan Cadangan Karbon;2.16.73.1.1.11.68;INTI;Aksi Daerah;FINAL;SULAWESI SELATAN;SULAWESI SELATAN;MAROS;BANTIMURUNG;BARUGA;Identifikasi Batas Kawasan Hutan;2016;HANYA TAHUN PELAPORAN;UTAMA;400;400;km;100;;266;DINAS KEHUTANAN;;;;;;;130600000;;;;;130600000;;128550000;;;;;128550000;98.43;Laporan Tahunan 2016 Dinas Kehutanan Prov Sulsel;2016;;DOKUMEN PELAPORAN LAIN;;0;1;0
FINAL;http://pep.pprk.bappenas.go.id/dashboard/kegiatan_mitigasi/35717;35717;Lahan;Kehutanan dan Lahan Gambut;Peningkatan Cadangan Karbon;2.18.73.1.1.12.17;INTI;Aksi Daerah;FINAL;SULAWESI SELATAN;SULAWESI SELATAN;MAROS;TANRALILI;TODDO PULIA;Pembuatan Tanaman Bambu di Kabupaten Maros;2018;BERULANG;SATULOKASI;25;25;ha;100;;266;DINAS KEHUTANAN;;1875;Program Rehabilitasi Hutan dan Lahan;;;;128958000;;;;;128958000;;128235000;;;;;128235000;99.44;DPA Dinas Kehutanan Sulsel;2018;;DOKUMEN PELAPORAN LAIN;;5353.333333;1;0
FINAL;http://pep.pprk.bappenas.go.id/dashboard/kegiatan_mitigasi/35877;35877;Lahan;Kehutanan dan Lahan Gambut;Peningkatan Cadangan Karbon;2.18.73.1.1.12.77;INTI;Aksi Daerah;FINAL;SULAWESI SELATAN;SULAWESI SELATAN;PALOPO;SENDANA;PURANGI;Penghijauan Lingkungan di Kota Palopo;2018;BERULANG;SATULOKASI;625;625;batang;100;;266;DINAS KEHUTANAN;;;;;;;6250000;;;;;6250000;;6234375;;;;;6234375;99.75;DPA Dinas Kehutanan Sulsel;2018;;DOKUMEN PELAPORAN LAIN;;14.98933333;1;0
FINAL;http://pep.pprk.bappenas.go.id/dashboard/kegiatan_mitigasi/35714;35714;Lahan;Kehutanan dan Lahan Gambut;Peningkatan Cadangan Karbon;2.18.73.1.1.12.14;INTI;Aksi Daerah;FINAL;SULAWESI SELATAN;SULAWESI SELATAN;PANGKAJENE DAN KEPULAUAN;MANDALLE;BENTENG;Pembuatan Tanaman Bambu di Kabupaten Pangkep;2018;BERULANG;SATULOKASI;20;20;ha;100;;266;DINAS KEHUTANAN;;1875;Program Rehabilitasi Hutan dan Lahan;;;;102990000;;;;;102990000;;102390000;;;;;102390000;99.42;DPA Dinas Kehutanan Sulsel;2018;;DOKUMEN PELAPORAN LAIN;;3426.133333;1;1
FINAL;http://pep.pprk.bappenas.go.id/dashboard/kegiatan_mitigasi/35719;35719;Lahan;Kehutanan dan Lahan Gambut;Peningkatan Cadangan Karbon;2.18.73.1.1.12.19;INTI;Aksi Daerah;FINAL;SULAWESI SELATAN;SULAWESI SELATAN;PINRANG;PATAMPANUA;MALIMPUNG;Pembuatan Tanaman Bambu di Kabupaten Luwu;2018;BERULANG;SATULOKASI;5;5;ha;100;;266;DINAS KEHUTANAN;;1875;Program Rehabilitasi Hutan dan Lahan;;;;25990000;;;;;25990000;;25840000;;;;;25840000;99.42;DPA Dinas Kehutanan Sulsel;2018;;DOKUMEN PELAPORAN LAIN;;214.1333333;1;1
FINAL;http://pep.pprk.bappenas.go.id/dashboard/kegiatan_mitigasi/32908;32908;Lahan;Kehutanan dan Lahan Gambut;Peningkatan Cadangan Karbon;2.12.73.1.1.12.08;INTI;Aksi Daerah;FINAL;SULAWESI SELATAN;SULAWESI SELATAN;SINJAI;SINJAI BORONG;BATU BELERANG;Pengelolaan Tahura Skala Provinsi;2012;BERULANG;SATULOKASI;40;40;#NAME?;100;;266;DINAS KEHUTANAN;;1876;Perlindungan Hutan;;;;770732000;;;;;770732000;;750269000;;;;;750269000;97.34;Matriks Program/Kegiatan Dinas Kehutanan Provinsi Sulsel;2012;sumberdata/Matriks_programkegiatan_lkpj_2012_Je8bCbZ.xlsx;LKPJ;;34.26133333;1;1
FINAL;http://pep.pprk.bappenas.go.id/dashboard/kegiatan_mitigasi/35801;35801;Lahan;Kehutanan dan Lahan Gambut;Peningkatan Cadangan Karbon;2.18.73.1.1.12.01;INTI;Aksi Daerah;FINAL;SULAWESI SELATAN;SULAWESI SELATAN;SOPPENG;DONRI DONRI;PESSE;Penanaman Hutan Rakyat;2018;BERULANG;SATULOKASI;50;50;Ha;100;;266;DINAS KEHUTANAN;;;;;;;290415000;;;;;290415000;;190639000;;;;;190639000;65.64;DPA Dinas Kehutanan Sulsel;2018;;DOKUMEN PELAPORAN LAIN;;1338.333333;1;0
FINAL;http://pep.pprk.bappenas.go.id/dashboard/kegiatan_mitigasi/35878;35878;Lahan;Kehutanan dan Lahan Gambut;Peningkatan Cadangan Karbon;2.18.73.1.1.12.78;INTI;Aksi Daerah;FINAL;SULAWESI SELATAN;SULAWESI SELATAN;SOPPENG;LALABATA;LEMBA;Penghijauan Lingkungan di Kabupaten Soppeng;2018;BERULANG;SATULOKASI;625;625;batang;100;;266;DINAS KEHUTANAN;;;;;;;6250000;;;;;6250000;;6234375;;;;;6234375;99.75;DPA Dinas Kehutanan Sulsel;2018;;DOKUMEN PELAPORAN LAIN;;14.98933333;1;1
FINAL;http://pep.pprk.bappenas.go.id/dashboard/kegiatan_mitigasi/10855;10855;Lahan;Pertanian;Penggunaan Pupuk Organik;2.16.73.2.1.21.55;INTI;Aksi Daerah;FINAL;SULAWESI SELATAN;SULAWESI SELATAN;TAKALAR;GALESONG SELATAN;BONTO KASSI;Pengembangan Desa Organik;2016;HANYA TAHUN PELAPORAN;AGREGAT;50;50;HA;100;;268;DINAS KETAHANAN PANGAN, TANAMAN PANGAN DAN HORTIKULTURA;;2870;Program pengelolaan pertanian tanpa bakar;;;;100000000;;;;;100000000;;100000000;;;;;100000000;100;;;;;;73.33333333;1;1
FINAL;http://pep.pprk.bappenas.go.id/dashboard/kegiatan_mitigasi/35709;35709;Lahan;Kehutanan dan Lahan Gambut;Peningkatan Cadangan Karbon;2.18.73.1.1.12.09;INTI;Aksi Daerah;FINAL;SULAWESI SELATAN;SULAWESI SELATAN;TAKALAR;POLOMBANGKENG UTARA;KO'MARA;Pembuatan Tanaman Bambu di Kabupaten Takalar;2018;BERULANG;UTAMA;20;20;ha;100;;;;;;;;;;102990000;;;;;102990000;;102390000;;;;;102390000;99.42;DPA Dinas Kehutanan Sulsel;2018;;DOKUMEN PELAPORAN LAIN;;3426.133333;1;0
FINAL;http://pep.pprk.bappenas.go.id/dashboard/kegiatan_mitigasi/35881;35881;Lahan;Kehutanan dan Lahan Gambut;Peningkatan Cadangan Karbon;2.18.73.1.1.12.81;INTI;Aksi Daerah;FINAL;SULAWESI SELATAN;SULAWESI SELATAN;TAKALAR;GALESONG UTARA;BONTOLEBANG;Penghijauan Lingkungan di Kabupaten Takalar;2018;BERULANG;SATULOKASI;625;625;batang;100;;266;DINAS KEHUTANAN;;;;;;;6250000;;;;;6250000;;6234375;;;;;6234375;99.75;DPA Dinas Kehutanan Sulsel;2018;;DOKUMEN PELAPORAN LAIN;;14.98933333;1;0
FINAL;http://pep.pprk.bappenas.go.id/dashboard/kegiatan_mitigasi/35715;35715;Lahan;Kehutanan dan Lahan Gambut;Peningkatan Cadangan Karbon;2.18.73.1.1.12.15;INTI;Aksi Daerah;FINAL;SULAWESI SELATAN;SULAWESI SELATAN;TANA TORAJA;MAKALE SELATAN;KELURAHAN PASANG;Pembuatan Tanaman Bambu di Kabupaten Tana Toraja;2018;BERULANG;SATULOKASI;20;20;ha;100;;266;DINAS KEHUTANAN;;1875;Program Rehabilitasi Hutan dan Lahan;;;;102990000;;;;;102990000;;102390000;;;;;102390000;99.42;DPA Dinas Kehutanan Sulsel;2018;;DOKUMEN PELAPORAN LAIN;;3426.133333;1;0
FINAL;http://pep.pprk.bappenas.go.id/dashboard/kegiatan_mitigasi/35876;35876;Lahan;Kehutanan dan Lahan Gambut;Peningkatan Cadangan Karbon;2.18.73.1.1.12.76;INTI;Aksi Daerah;FINAL;SULAWESI SELATAN;SULAWESI SELATAN;TANA TORAJA;MALIMBONG BALEPE;KELURAHAN MALIMBONG;Penghijauan Lingkungan;2018;BERULANG;SATULOKASI;625;625;batang;100;;266;DINAS KEHUTANAN;;;;;;;6250000;;;;;6250000;;6234375;;;;;6234375;99.75;DPA Dinas Kehutanan Sulsel;2018;;DOKUMEN PELAPORAN LAIN;;14.98933333;1;1
